order,Distr_ID,Gub_ID,Name_RU,Name_ENG,prov_RU,prov_ENG,district_uk,state_uk
75,153,20,Феллинский,Fellinskii,Лифляндская губерния,Livonia governorate,Фелінський повіт,Ліфляндська губернія
76,156,20,Вольмарский,Volmarskii,Лифляндская губерния,Livonia governorate,Вольмарський повіт,Ліфляндська губернія
77,157,20,Венденский,Vendenskii,Лифляндская губерния,Livonia governorate,Венденський повіт,Ліфляндська губернія
78,159,21,Фридрихштадтский,Fridrikhshtadtskii,Курляндская губерния,Kurland governorate,Фрідріхштадтський повіт,Курляндська губернія
79,163,21,Туккумский,Tukkumskii,Курляндская губерния,Kurland governorate,Туккумський повіт,Курляндська губернія
80,158,20,Рижский,Rizhskii,Лифляндская губерния,Livonia governorate,Ризький повіт,Ліфляндська губернія
81,166,21,Гольдингенский,Goldingenskii,Курляндская губерния,Kurland governorate,Гольдингенський повіт,Курляндська губернія
82,167,21,Газенпотский,Gazenpotskii,Курляндская губерния,Kurland governorate,Газенпотський повіт,Курляндська губернія
83,173,22,Тельшевский,Telshevskii,Ковенская губерния,Kovno governorate,Тельшевський повіт,Ковенська губернія
84,171,22,Ковенский,Kovenskii,Ковенская губерния,Kovno governorate,Ковенський повіт,Ковенська губернія
85,175,22,Поневежский,Ponevezhskii,Ковенская губерния,Kovno governorate,Поневізький повіт,Ковенська губернія
86,176,23,Купровский,Kuprovskii,Витебская губерния,Vitebsk governorate,Купровський повіт,Вітебська губернія
87,177,23,Двинский,Dvinskii,Витебская губерния,Vitebsk governorate,Двінський повіт,Вітебська губернія
88,179,23,Люцинский,Liutsinskii,Витебская губерния,Vitebsk governorate,Люцинський повіт,Вітебська губернія
89,160,21,Иллукстский,Illukstskii,Курляндская губерния,Kurland governorate,Іллукстський повіт,Курляндська губернія
90,180,23,Дриссенский,Drissenskii,Витебская губерния,Vitebsk governorate,Дрісенський повіт,Вітебська губернія
91,141,18,Торопецкий,Toropetskii,Псковская губерния,Pskov governorate,Торопецький повіт,Псковська губернія
92,182,23,Невельский,Nevelskii,Витебская губерния,Vitebsk governorate,Невельський повіт,Вітебська губернія
93,183,23,Велижский,Velizhskii,Витебская губерния,Vitebsk governorate,Велізький повіт,Вітебська губернія
94,186,23,Витебский,Vitebskii,Витебская губерния,Vitebsk governorate,Вітебський повіт,Вітебська губернія
95,188,24,Яранский,Iaranskii,Вятская губерния,Viatka governorate,Яранський повіт,Вятська губернія
96,193,24,Нолинский,Nolinskii,Вятская губерния,Viatka governorate,Нолінський повіт,Вятська губернія
97,190,24,Уржумский,Urzhumskii,Вятская губерния,Viatka governorate,Уржумський повіт,Вятська губернія
98,197,24,Глазовский,Glazovskii,Вятская губерния,Viatka governorate,Глазовський повіт,Вятська губернія
99,192,24,Вятский,Viatskii,Вятская губерния,Viatka governorate,Вятський повіт,Вятська губернія
100,199,25,Владиславовский,Vladislavovskii,Сувалкская губерния,Suwałki governorate,Владиславівський повіт,Сувалкська губернія
101,202,25,Августовский,Avgustovskii,Сувалкская губерния,Suwałki governorate,Серпневий повіт,Сувалкська губернія
102,203,25,Мариампольский,Mariampolskii,Сувалкская губерния,Suwałki governorate,Маріампільський повіт,Сувалкська губернія
103,200,25,Волковышский,Volkovyshskii,Сувалкская губерния,Suwałki governorate,Вовковизький повіт,Сувалкська губернія
104,201,25,Сувалкский,Suvalkskii,Сувалкская губерния,Suwałki governorate,Сувалкський повіт,Сувалкська губернія
105,204,25,Кальварийский,Kalvariiskii,Сувалкская губерния,Suwałki governorate,Кальварійський повіт,Сувалкська губернія
106,170,22,Вилькомирский,Vilkomirskii,Ковенская губерния,Kovno governorate,Вількомирський повіт,Ковенська губернія
107,206,26,Трокский,Trokskii,Виленская губерния,Vilna governorate,Трокський повіт,Віленська губернія
108,210,26,Дисненский,Disnenskii,Виленская губерния,Vilna governorate,Дісненський повіт,Віленська губернія
109,215,27,Остроленский,Ostrolenskii,Ломжинская губерния,Łomża governorate,Остроленський повіт,Ломжинська губернія
110,216,27,Маковский,Makovskii,Ломжинская губерния,Łomża governorate,Маковський повіт,Ломжинська губернія
111,220,27,Островский,Ostrovskii,Ломжинская губерния,Łomża governorate,Островський повіт,Ломжинська губернія
112,223,28,Цехановский,Tsekhanovskii,Плоцкая губерния,Płock governorate,Цехановський повіт,Плоцька губернія
113,225,28,Серпецкий,Serpetskii,Плоцкая губерния,Płock governorate,Серпецький повіт,Плоцька губернія
114,226,28,Плоцкий,Plotskii,Плоцкая губерния,Płock governorate,Плоцький повіт,Плоцька губернія
115,227,28,Липновский,Lipnovskii,Плоцкая губерния,Płock governorate,Липнівський повіт,Плоцька губернія
116,228,28,Рыпинский,Rypinskii,Плоцкая губерния,Płock governorate,Рипинський повіт,Плоцька губернія
117,230,29,Влоцлавский,Vlotslavskii,Варшавская губерния,Warsaw governorate,Влоцлавський повіт,Варшавська губернія
118,221,107,Венгровский,Vengrovskii,Седлецкая губерния,Siedlce governorate,Угорський повіт,Седлецька губернія
119,231,29,Новоминский,Novominskii,Варшавская губерния,Warsaw governorate,Новомінський повіт,Варшавська губернія
120,233,29,Гостынский,Gostynskii,Варшавская губерния,Warsaw governorate,Гостинський повіт,Варшавська губернія
121,232,29,Кутновский,Kutnovskii,Варшавская губерния,Warsaw governorate,Кутнівський повіт,Варшавська губернія
122,234,29,Ловичский,Lovichskii,Варшавская губерния,Warsaw governorate,Ловичський повіт,Варшавська губернія
123,235,29,Скерневицкий,Skernevitskii,Варшавская губерния,Warsaw governorate,Скерневицький повіт,Варшавська губернія
124,236,29,Гроецкий,Groetskii,Варшавская губерния,Warsaw governorate,Гроєцький повіт,Варшавська губернія
125,237,29,Блонский,Blonskii,Варшавская губерния,Warsaw governorate,Блонський повіт,Варшавська губернія
126,238,29,Сохачевский,Sokhachevskii,Варшавская губерния,Warsaw governorate,Сохачевський повіт,Варшавська губернія
127,239,29,Плонский,Plonskii,Варшавская губерния,Warsaw governorate,Плонський повіт,Варшавська губернія
128,240,29,Пултуский,Pultuskii,Варшавская губерния,Warsaw governorate,Пултуський повіт,Варшавська губернія
129,241,29,Варшавский,Varshavskii,Варшавская губерния,Warsaw governorate,Варшавський повіт,Варшавська губернія
130,242,29,Радиминский,Radiminskii,Варшавская губерния,Warsaw governorate,Радімінський повіт,Варшавська губернія
131,243,30,Ленчицкий,Lenchitskii,Калишская губерния,Kalisz governorate,Ленчицький повіт,Каліська губернія
132,244,30,Кольский,Kolskii,Калишская губерния,Kalisz governorate,Кольський повіт,Каліська губернія
133,245,30,Слупецкий,Slupetskii,Калишская губерния,Kalisz governorate,Слупецький повіт,Каліська губернія
134,246,30,Конинский,Koninskii,Калишская губерния,Kalisz governorate,Конінський повіт,Каліська губернія
135,247,30,Калишский,Kalishskii,Калишская губерния,Kalisz governorate,Каліський повіт,Каліська губернія
136,248,30,Велюнский,Veliunskii,Калишская губерния,Kalisz governorate,Велюнський повіт,Каліська губернія
137,249,30,Турекский,Turekskii,Калишская губерния,Kalisz governorate,Турецький повіт,Каліська губернія
138,251,31,Равский,Ravskii,Петроковская губерния,Piotrków governorate,Равський повіт,Петроківська губернія
139,252,31,Брезинский,Brezinskii,Петроковская губерния,Piotrków governorate,Брезинський повіт,Петроківська губернія
140,250,30,Серадзский,Seradzskii,Калишская губерния,Kalisz governorate,Серадський повіт,Каліська губернія
141,253,31,Лодзинский,Lodzinskii,Петроковская губерния,Piotrków governorate,Лодзинський повіт,Петроківська губернія
142,256,31,Новорадомский,Novoradomskii,Петроковская губерния,Piotrków governorate,Новорадомський повіт,Петроківська губернія
143,257,31,Ченстоховский,Chenstokhovskii,Петроковская губерния,Piotrków governorate,Ченстохівський повіт,Петроківська губернія
144,258,31,Бендинский,Bendinskii,Петроковская губерния,Piotrków governorate,Бендінський повіт,Петроківська губернія
145,259,32,Влощовский,Vloshchovskii,Келецкая губерния,Kielce governorate,Влощівський повіт,Келецька губернія
146,260,32,Олькушский,Olkushskii,Келецкая губерния,Kielce governorate,Олькуський повіт,Келецька губернія
147,262,32,Андреевский,Andreevskii,Келецкая губерния,Kielce governorate,Андріївський повіт,Келецька губернія
148,263,32,Стопницкий,Stopnitskii,Келецкая губерния,Kielce governorate,Стопницький повіт,Келецька губернія
149,265,32,Пинчовский,Pinchovskii,Келецкая губерния,Kielce governorate,Пінчовський повіт,Келецька губернія
150,255,31,Петроковский,Petrokovskii,Петроковская губерния,Piotrków governorate,Петроківський повіт,Петроківська губернія
151,266,33,Опоченский,Opochenskii,Радомская губерния,Radom governorate,Опоченський повіт,Радомська губернія
152,267,33,Конский,Konskii,Радомская губерния,Radom governorate,Кінський повіт,Радомська губернія
153,269,33,Сандомирский,Sandomirskii,Радомская губерния,Radom governorate,Сандомирський повіт,Радомська губернія
154,270,33,Козеницкий,Kozenitskii,Радомская губерния,Radom governorate,Козеницький повіт,Радомська губернія
155,261,32,Келецкий,Keletskii,Келецкая губерния,Kielce governorate,Келецький повіт,Келецька губернія
156,271,33,Илжецкий,Ilzhetskii,Радомская губерния,Radom governorate,Ілжецький повіт,Радомська губернія
157,272,33,Опатовский,Opatovskii,Радомская губерния,Radom governorate,Опатовський повіт,Радомська губернія
158,273,34,Яновский,Ianovskii,Люблинская губерния,Lublin governorate,Яновський повіт,Люблінська губернія
159,274,34,Белгорайский,Belgoraiskii,Люблинская губерния,Lublin governorate,Білгорайський повіт,Люблінська губернія
160,275,34,Замостский,Zamostskii,Люблинская губерния,Lublin governorate,Замостський повіт,Люблінська губернія
161,276,34,Красноставский,Krasnostavskii,Люблинская губерния,Lublin governorate,Красноставський повіт,Люблінська губернія
162,278,34,Ново-Александрийский,Novo-Aleksandriiskii,Люблинская губерния,Lublin governorate,Ново-Олександрійський повіт,Люблінська губернія
163,279,107,Гарволинский,Garvolinskii,Седлецкая губерния,Siedlce governorate,Гарволінський повіт,Седлецька губернія
164,281,107,Седлецкий,Sedletskii,Седлецкая губерния,Siedlce governorate,Седлецький повіт,Седлецька губернія
165,282,107,Луковский,Lukovskii,Седлецкая губерния,Siedlce governorate,Луківський повіт,Седлецька губернія
166,284,34,Любартовский,Liubartovskii,Люблинская губерния,Lublin governorate,Любартовський повіт,Люблінська губернія
167,286,34,Томашевский,Tomashevskii,Люблинская губерния,Lublin governorate,Томашевський повіт,Люблінська губернія
168,288,34,Грубешовский,Grubeshovskii,Люблинская губерния,Lublin governorate,Грубешівський повіт,Люблінська губернія
169,289,34,Холмский,Kholmskii,Люблинская губерния,Lublin governorate,Холмський повіт,Люблінська губернія
170,277,34,Люблинский,Liublinskii,Люблинская губерния,Lublin governorate,Люблінський повіт,Люблінська губернія
171,283,107,Радинский,Radinskii,Седлецкая губерния,Siedlce governorate,Радінський повіт,Седлецька губернія
172,290,107,Константиновский,Konstantinovskii,Седлецкая губерния,Siedlce governorate,Костянтинівський повіт,Седлецька губернія
173,218,27,Ломжинский,Lomzhinskii,Ломжинская губерния,Łomża governorate,Ломжинський повіт,Ломжинська губернія
174,294,36,Белостокский,Belostokskii,Гродненская губерния,Grodno governorate,Білостоцький повіт,Гродненська губернія
175,214,27,Кольненский,Kolnenskii,Ломжинская губерния,Łomża governorate,Кольненський повіт,Ломжинська губернія
176,213,27,Щучинский,Shchuchinskii,Ломжинская губерния,Łomża governorate,Щучинський повіт,Ломжинська губернія
177,295,36,Бельский,Belskii,Гродненская губерния,Grodno governorate,Бєльський повіт,Гродненська губернія
178,296,36,Соколский,Sokolskii,Гродненская губерния,Grodno governorate,Сокільський повіт,Гродненська губернія
179,297,36,Гродненский,Grodnenskii,Гродненская губерния,Grodno governorate,Гродненський повіт,Гродненська губернія
180,207,26,Лидский,Lidskii,Виленская губерния,Vilna governorate,Лідський повіт,Віленська губернія
181,298,36,Волковыский,Volkovyskii,Гродненская губерния,Grodno governorate,Волковиський повіт,Гродненська губернія
182,301,36,Пружанский,Pruzhanskii,Гродненская губерния,Grodno governorate,Пружанський повіт,Гродненська губернія
183,293,107,Влодавский,Vlodavskii,Седлецкая губерния,Siedlce governorate,Влодавський повіт,Седлецька губернія
184,302,36,Брестский,Brestskii,Гродненская губерния,Grodno governorate,Брестський повіт,Гродненська губернія
185,303,37,Новогрудский,Novogrudskii,Минская губерния,Minsk governorate,Новогрудський повіт,Мінська губернія
186,308,37,Пинский,Pinskii,Минская губерния,Minsk governorate,Пінський повіт,Мінська губернія
187,313,38,Владимир-Волынский,Vladimir-Volynskii,Волынская губерния,Volhynian governorate,Володимир-Волинський повіт,Волинська губернія
188,315,38,Дубенский,Dubenskii,Волынская губерния,Volhynian governorate,Дубенський повіт,Волинська губернія
189,310,37,Мозырский,Mozyrskii,Минская губерния,Minsk governorate,Мозирський повіт,Мінська губернія
190,318,38,Ровенский,Rovenskii,Волынская губерния,Volhynian governorate,Рівненський повіт,Волинська губернія
191,317,38,Староконстантиновский,Starokonstantinovskii,Волынская губерния,Volhynian governorate,Старокостянтинівський повіт,Волинська губернія
192,321,38,Новоградволынский,Novogradvolynskii,Волынская губерния,Volhynian governorate,Новоградволинський повіт,Волинська губернія
193,319,38,Острожский,Ostrozhskii,Волынская губерния,Volhynian governorate,Острозький повіт,Волинська губернія
194,322,38,Житомирский,Zhitomirskii,Волынская губерния,Volhynian governorate,Житомирський повіт,Волинська губернія
195,324,39,Проскуровский,Proskurovskii,Подольская губерния,Podolsk governorate,Проскурівський повіт,Подільська губернія
196,328,39,Винницкий,Vinnitskii,Подольская губерния,Podolsk governorate,Вінницький повіт,Подільська губернія
197,327,39,Литинский,Litinskii,Подольская губерния,Podolsk governorate,Літинський повіт,Подільська губернія
198,331,39,Могилевский,Mogilevskii,Подольская губерния,Podolsk governorate,Могилевський повіт,Подільська губернія
199,326,39,Летичевский,Letichevskii,Подольская губерния,Podolsk governorate,Летичівський повіт,Подільська губернія
200,329,39,Брацлавский,Bratslavskii,Подольская губерния,Podolsk governorate,Брацлавський повіт,Подільська губернія
201,339,40,Липовецкий,Lipovetskii,Киевская губерния,Kiev governorate,Липовецький повіт,Київська губернія
202,337,40,Бердичевский,Berdichevskii,Киевская губерния,Kiev governorate,Бердичевський повіт,Київська губернія
203,341,40,Таращанский,Tarashchanskii,Киевская губерния,Kiev governorate,Таращанський повіт,Київська губернія
204,342,40,Звенигородский,Zvenigorodskii,Киевская губерния,Kiev governorate,Звенигородський повіт,Київська губернія
205,348,41,Хотинский,Khotinskii,Бессарабская губерния,Bessarabia governorate,Хотинський повіт,Бессарабська губернія
206,349,41,Белецкий,Beletskii,Бессарабская губерния,Bessarabia governorate,Білецький повіт,Бессарабська губернія
207,335,39,Балтский,Baltskii,Подольская губерния,Podolsk governorate,Балтський повіт,Подільська губернія
208,350,41,Сорокский,Sorokskii,Бессарабская губерния,Bessarabia governorate,Сорокський повіт,Бессарабська губернія
209,351,41,Оргеевский,Orgeevskii,Бессарабская губерния,Bessarabia governorate,Оргеєвський повіт,Бессарабська губернія
210,352,41,Кишиневский,Kishinevskii,Бессарабская губерния,Bessarabia governorate,Кишинівський повіт,Бессарабська губернія
211,356,42,Тираспольский,Tiraspolskii,Херсонская губерния,Kherson governorate,Тираспольський повіт,Херсонська губернія
212,359,42,Херсонский,Khersonskii,Херсонская губерния,Kherson governorate,Херсонський повіт,Херсонська губернія
213,360,42,Александрийский,Aleksandriiskii,Херсонская губерния,Kherson governorate,Олександрійський повіт,Херсонська губернія
214,358,42,Одесский,Odesskii,Херсонская губерния,Kherson governorate,Одеський повіт,Херсонська губернія
215,361,42,Елисаветградский,Elisavetgradskii,Херсонская губерния,Kherson governorate,Єлисаветградський повіт,Херсонська губернія
216,363,43,Кременчугский,Kremenchugskii,Полтавская губерния,Poltava governorate,Кременчуцький повіт,Полтавська губернія
217,343,40,Чигиринский,Chigirinskii,Киевская губерния,Kiev governorate,Чигиринський повіт,Київська губернія
218,364,43,Кобелякский,Kobeliakskii,Полтавская губерния,Poltava governorate,Кобеляцький повіт,Полтавська губернія
219,365,43,Константиноградский,Konstantinogradskii,Полтавская губерния,Poltava governorate,Костянтиноградський повіт,Полтавська губернія
220,346,40,Каневский,Kanevskii,Киевская губерния,Kiev governorate,Каневський повіт,Київська губернія
221,366,43,Золотоношский,Zolotonoshskii,Полтавская губерния,Poltava governorate,Золотоніський повіт,Полтавська губернія
222,368,43,Хорольский,Khorolskii,Полтавская губерния,Poltava governorate,Хорольський повіт,Полтавська губернія
223,367,43,Лубенский,Lubenskii,Полтавская губерния,Poltava governorate,Лубенський повіт,Полтавська губернія
224,369,43,Пирятинский,Piriatinskii,Полтавская губерния,Poltava governorate,Пирятинський повіт,Полтавська губернія
225,362,43,Переяславский,Pereiaslavskii,Полтавская губерния,Poltava governorate,Переяславський повіт,Полтавська губернія
226,371,43,Лохвицкий,Lokhvitskii,Полтавская губерния,Poltava governorate,Лохвицький повіт,Полтавська губернія
227,373,43,Гадячский,Gadiachskii,Полтавская губерния,Poltava governorate,Гадяцький повіт,Полтавська губернія
228,374,43,Миргородский,Mirgorodskii,Полтавская губерния,Poltava governorate,Миргородський повіт,Полтавська губернія
229,375,43,Зеньковский,Zenkovskii,Полтавская губерния,Poltava governorate,Зіньківський повіт,Полтавська губернія
230,376,43,Полтавский,Poltavskii,Полтавская губерния,Poltava governorate,Полтавський повіт,Полтавська губернія
231,377,44,Остерский,Osterskii,Черниговская губерния,Chernigov governorate,Остерський повіт,Чернігівська губернія
232,311,37,Речицкий,Rechitskii,Минская губерния,Minsk governorate,Речицький повіт,Мінська губернія
233,370,43,Прилукский,Prilukskii,Полтавская губерния,Poltava governorate,Прилуцький повіт,Полтавська губернія
234,378,44,Козелецкий,Kozeletskii,Черниговская губерния,Chernigov governorate,Козелецький повіт,Чернігівська губернія
235,379,44,Нежинский,Nezhinskii,Черниговская губерния,Chernigov governorate,Ніжинський повіт,Чернігівська губернія
236,380,44,Борзнянский,Borznianskii,Черниговская губерния,Chernigov governorate,Борзнянський повіт,Чернігівська губернія
237,381,44,Конотопский,Konotopskii,Черниговская губерния,Chernigov governorate,Конотопський повіт,Чернігівська губернія
238,382,44,Черниговский,Chernigovskii,Черниговская губерния,Chernigov governorate,Чернігівський повіт,Чернігівська губернія
239,383,44,Городнянский,Gorodnianskii,Черниговская губерния,Chernigov governorate,Городнянський повіт,Чернігівська губернія
240,384,44,Сосницкий,Sosnitskii,Черниговская губерния,Chernigov governorate,Сосницький повіт,Чернігівська губернія
241,387,44,Новозыбковский,Novozybkovskii,Черниговская губерния,Chernigov governorate,Новозибківський повіт,Чернігівська губернія
242,388,44,Новгород-Северский,Novgorod-Severskii,Черниговская губерния,Chernigov governorate,Новгород-Сіверський повіт,Чернігівська губернія
243,389,44,Суражский,Surazhskii,Черниговская губерния,Chernigov governorate,Суражський повіт,Чернігівська губернія
244,391,44,Стародубский,Starodubskii,Черниговская губерния,Chernigov governorate,Стародубський повіт,Чернігівська губернія
245,392,45,Гомельский,Gomelskii,Могилевская губерния,Mogilev governorate,Гомельський повіт,Могилівська губернія
246,309,37,Бобруйский,Bobruiskii,Минская губерния,Minsk governorate,Бобруйский повіт,Мінська губернія
247,394,45,Быховский,Bykhovskii,Могилевская губерния,Mogilev governorate,Биховський повіт,Могилівська губернія
